SM_LINCS_ID	SM_CENTER_COMPOUND_ID
LSM-1349	BRD-A31107743
LSM-1349	BRD-A17065207
LSM-1350	BRD-A17411484
LSM-1351	BRD-A17428743
LSM-1352	BRD-A17453586
LSM-1353	BRD-A17535965
LSM-1354	BRD-A17655518
LSM-1355	BRD-A17664363
LSM-1356	BRD-A17718497
LSM-1357	BRD-A17757596
LSM-1358	BRD-A17819071
LSM-1359	BRD-A18043272
LSM-1360	BRD-A18202423
LSM-1361	BRD-A18279961
LSM-1362	BRD-A18411371
LSM-1363	BRD-A18419789
LSM-1364	BRD-A18579359
LSM-1365	BRD-A18620900
LSM-1366	BRD-A18725729
LSM-1367	BRD-A18917088
LSM-1368	BRD-A18932057
LSM-1369	BRD-A19037878
LSM-1370	BRD-A19053259
LSM-1371	BRD-A19195498
LSM-1372	BRD-A19374631
LSM-1373	BRD-A19500257
LSM-1374	BRD-A19661776
LSM-1375	BRD-A19736161
LSM-1376	BRD-A19918940
LSM-1377	BRD-A19928752
LSM-1378	BRD-A20126139
LSM-1379	BRD-A20243730
LSM-1380	BRD-A20527803
LSM-1381	BRD-A20846977
LSM-1382	BRD-A20968261
LSM-1383	BRD-A21406558
LSM-1384	BRD-A21481508
LSM-1385	BRD-A21723284
LSM-1386	BRD-A21812217
LSM-1387	BRD-A21858158
LSM-1388	BRD-A22032524
LSM-1389	BRD-A22143024
LSM-1390	BRD-A22380646
LSM-1391	BRD-A22684332
LSM-1392	BRD-A22707317
LSM-1393	BRD-A22713669
LSM-1394	BRD-A22769835
LSM-1395	BRD-A22783572
LSM-1396	BRD-A22844106
LSM-1397	BRD-A23072235
LSM-1398	BRD-A23226398
LSM-1399	BRD-A23683907
LSM-1400	BRD-A23723433
LSM-1401	BRD-A24021119
LSM-1402	BRD-A24122750
LSM-1403	BRD-A24225650
LSM-1404	BRD-A24429032
LSM-1405	BRD-A24514565
LSM-1406	BRD-A24817035
LSM-1407	BRD-A25143711
LSM-1408	BRD-A25170757
LSM-1409	BRD-A25234499
LSM-1410	BRD-A25687296
LSM-1411	BRD-A25775766
LSM-1412	BRD-A25829966
LSM-1413	BRD-A26032986
LSM-1414	BRD-A26095496
LSM-1415	BRD-A26097136
LSM-1416	BRD-A26334849
LSM-1417	BRD-A26384407
LSM-1418	BRD-A26711594
LSM-1419	BRD-A26777759
LSM-1420	BRD-A26787626
LSM-1421	BRD-A26845397
LSM-1422	BRD-A26962727
LSM-1423	BRD-A27143604
LSM-1424	BRD-A27554692
LSM-1425	BRD-A27887842
LSM-1426	BRD-A28318179
LSM-1427	BRD-A28412351
LSM-1428	BRD-A28422058
LSM-1429	BRD-A28422330
LSM-1430	BRD-A28856712
LSM-1431	BRD-A28970875
LSM-1432	BRD-A29082194
LSM-1433	BRD-A29289453
LSM-1434	BRD-A29322418
LSM-1435	BRD-A29426959
LSM-1436	BRD-A29437505
LSM-1437	BRD-A29485665
LSM-1438	BRD-A29721261
LSM-1439	BRD-A29734509
LSM-1440	BRD-A30205217
LSM-1441	BRD-A30435184
LSM-1442	BRD-A30437061
LSM-1443	BRD-A30590053
LSM-1444	BRD-A30612536
LSM-1445	BRD-A30655177
LSM-1446	BRD-A30717181
LSM-1447	BRD-A30815329
LSM-1448	BRD-A31007383
LSM-1449	BRD-A31159102
LSM-1450	BRD-A31195449
LSM-1451	BRD-A31204924
LSM-1452	BRD-A31227688
LSM-1453	BRD-A31521121
LSM-1454	BRD-A31575449
LSM-1455	BRD-A31801025
LSM-1456	BRD-A31946439
LSM-1457	BRD-A32164164
LSM-1458	BRD-A32349859
LSM-1459	BRD-A32449311
LSM-1460	BRD-A32595718
LSM-1461	BRD-A32836748
LSM-1462	BRD-A32917072
LSM-1463	BRD-A32949107
LSM-1464	BRD-A33084410
LSM-1465	BRD-A33168282
LSM-1466	BRD-A33447119
LSM-1467	BRD-A33711280
LSM-1468	BRD-A33833419
